Date,SP500-EPS-Index,SP500-EPS-Ensemble-Pred,SP500-EPS-Ensemble_Pred_Smth,SP500-EPS-Ensemble-Pred-Smth
2006-06-01,1268.9066576033,1174.1212542950534,1.8355293374946357e-14,-2.179260710840036e-26
2006-07-01,1292.19871666447,1218.9902205020273,1.815985052470045e-14,-2.3406746786867057e-26
2006-08-01,1315.04083553643,1314.1260780969408,1.907353000795776e-14,-2.421512108613044e-26
2006-09-01,1338.26569176394,1314.1260780969408,1.9524479949292636e-14,-2.5141473531645e-26
2006-10-01,1354.72697704165,1314.1260780969408,1.982153215190204e-14,-2.5414161958518806e-26
2006-11-01,1371.82302339549,1314.1260780969408,1.9892288263367615e-14,-2.5304168935715715e-26
2006-12-01,1387.99517414074,1314.1260780969408,2.0337520667009922e-14,-2.5054267146436483e-26
2007-01-01,1397.18765810737,1335.3467541304387,1.9913329929253834e-14,-2.4848672934176054e-26
2007-02-01,1406.90120411008,1342.3876328190063,2.2764945588672543e-14,-2.4971047940221063e-26
2007-03-01,1416.19802028909,1488.0267549370099,2.0269868776875224e-14,-2.5354904045175868e-26
2007-04-01,1426.06236754877,1488.0267549370099,1.6749716973811438e-14,-2.608269428170624e-26
2007-05-01,1436.19157274823,1488.0267549370099,1.7849102640981692e-14,-2.6682901294107993e-26
2007-06-01,1446.3543575404199,1488.0267549370099,1.5438951997597408e-14,-2.75277748615517e-26
2007-07-01,1410.65042094797,1504.7504099164184,1.3210926548176225e-14,-2.844215225881864e-26
2007-08-01,1374.80291948093,1504.7504099164184,1.392349068519503e-14,-2.9038385884036625e-26
2007-09-01,1338.46589626498,1504.7504099164184,1.0984280070446522e-14,-2.9395295497205615e-26
2007-10-01,1268.0020931973902,856.4724574626857,1.6492802147566326e-14,-2.9687734189286505e-26
2007-11-01,1197.66037388504,856.4724574626857,1.8018272524375682e-14,-3.005598890464303e-26
2007-12-01,1127.199845315,856.4724574626857,2.0644550753615716e-14,-3.063128759436259e-26
2008-01-01,1094.21996743559,332.9835496713052,1.7402376296485043e-14,-3.1402393940278024e-26
2008-02-01,1061.41144118516,332.9835496713052,1.4542731669676595e-14,-3.2242751334025213e-26
2008-03-01,1028.38563399478,332.9835496713052,1.2805200507496831e-14,-3.300726237417763e-26
2008-04-01,977.419250994122,332.9835496713052,1.0066207338064013e-14,-3.3192154940031e-26
2008-05-01,925.941265577575,1235.4627077197129,7.083905235573912e-15,-3.3804618048515433e-26
2008-06-01,874.880105641234,1018.6173887971646,8.686567827486456e-15,-3.644302766403524e-26
2008-07-01,844.062272087272,987.6660755149727,5.642403871864702e-15,-3.4520189458119733e-26
2008-08-01,813.454842223679,312.0404774200539,4.313958175712034e-15,-3.2309072756369517e-26
2008-09-01,782.709188357577,312.0404774200539,3.658814739902958e-15,-3.6934732220658e-26
2008-10-01,606.1661592251698,312.0404774200539,7.401497894077971e-15,-4.075004425944862e-26
2008-11-01,429.81553871746,312.0404774200539,1.4179446516465224e-14,-4.182688517519255e-26
2008-12-01,253.406487479765,312.0404774200539,1.826902656695177e-14,-4.066313782470281e-26
2009-01-01,207.895651587458,312.0404774200539,1.3372638851471878e-14,-3.8419989752922884e-26
2009-02-01,162.373273964582,312.0404774200539,1.2286858691509045e-14,-3.6097092509927706e-26
2009-03-01,116.832882033719,312.0404774200539,8.956012254932175e-15,-3.4148450473940643e-26
2009-04-01,120.525878555811,312.0404774200539,1.1349252374020684e-14,-3.295620348962676e-26
2009-05-01,124.215148868546,1072.2867715848217,1.0592600203327651e-14,-3.252446876343503e-26
2009-06-01,127.902615312036,1111.3865152084568,1.0753679131872818e-14,-3.299950009031101e-26
2009-07-01,156.455809594809,1111.3865152084568,1.078380582227152e-14,-3.396400528286755e-26
2009-08-01,185.01270100597,1111.3865152084568,1.0638440256809473e-14,-3.513979699141087e-26
2009-09-01,213.564916304172,1111.3865152084568,1.1309622813700587e-14,-3.6135581847101374e-26
2009-10-01,431.708189668124,1111.3865152084568,1.1389735631854294e-14,-3.71761448437467e-26
2009-11-01,649.987937007866,1111.3865152084568,1.4485625107513953e-14,-3.819182704154727e-26
2009-12-01,868.279271410606,1111.3865152084568,1.8264913784171226e-14,-3.918667760204971e-26
2010-01-01,924.441284702025,1111.3865152084568,1.579955543882505e-14,-4.015051435284635e-26
2010-02-01,980.947652587352,1111.3865152084568,1.6763838610055183e-14,-4.100751952375268e-26
2010-03-01,1037.58928271627,1111.3865152084568,1.7568767692574133e-14,-4.142650882382686e-26
2010-04-01,1072.68892801443,1111.3865152084568,1.8143998068143627e-14,-4.181425857057063e-26
2010-05-01,1107.5803927297,988.2475997884848,1.828817200567665e-14,-4.218214488676959e-26
2010-06-01,1142.47300637012,1085.5551653904697,1.8344627291430674e-14,-4.2152494631423e-26
2010-07-01,1169.86691609429,1085.5551653904697,1.8244735303191147e-14,-4.2151122790981145e-26
2010-08-01,1197.00720250855,1115.0887852857797,1.8376944418044023e-14,-4.1872916017866153e-26
2010-09-01,1224.24008764276,1218.1672438321682,1.842812485982297e-14,-4.100345276626316e-26
2010-10-01,1254.93289312182,1323.486917859319,1.8780900332519928e-14,-3.9366014890609364e-26
2010-11-01,1285.80324508564,1323.486917859319,1.829485984110625e-14,-3.751843364500558e-26
2010-12-01,1317.43094187639,1323.486917859319,1.8545484516984714e-14,-3.549711665002882e-26
2011-01-01,1340.15824025785,1323.486917859319,2.022640966093037e-14,-3.370883999835381e-26
2011-02-01,1362.00249175115,1323.486917859319,2.0414235916098117e-14,-3.1831269882805733e-26
2011-03-01,1385.10299426629,1358.8610745287288,2.1335131025787964e-14,-3.1131394028910574e-26
